Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1848.5360478332072
FDW14,OUT017,1472.8167043467636
NCN55,OUT010,1875.652858942895
FDQ58,OUT017,2593.644690497184
FDY38,OUT027,5181.558341361706
FDH56,OUT046,1929.5441416826534
FDL48,OUT018,599.5592527786758
FDC48,OUT027,2785.3745282492614
FDN33,OUT045,1511.6729585743822
FDA36,OUT017,3092.932939619686
FDT44,OUT017,1990.652254842797
FDQ56,OUT045,1310.7967501522833
NCC54,OUT019,1850.4204701724457
FDU11,OUT049,2056.4553264741294
DRL59,OUT013,863.182055716007
FDM24,OUT049,2560.9554667923835
FDI57,OUT045,3082.6540637653343
DRC12,OUT018,2761.772689708624
NCM42,OUT027,3198.637824504161
FDA46,OUT010,1127.5311707592318
FDA31,OUT013,2802.465176924305
NCJ31,OUT035,3868.4401089613975
FDG52,OUT046,772.0289774361546
NCL19,OUT019,368.80620447701926
FDS10,OUT035,3021.1603000675855
FDX22,OUT010,1470.3870733970484
NCF19,OUT035,925.6346340875709
NCE06,OUT046,2538.1832227604345
DRC27,OUT046,3849.8267853622283
FDE21,OUT035,2000.1983604149618
NCR42,OUT019,-1358.4488756681362
FDX51,OUT018,2876.7452458038188
NCR06,OUT018,433.6814372051465
FDU31,OUT027,4953.875894249833
FDU59,OUT017,2713.040766777568
FDR03,OUT027,4762.006320803972
FDS49,OUT027,2755.2540326824746
FDD48,OUT010,-65.5316985675031
NCF18,OUT017,3113.6486471357966
NCD43,OUT027,3104.464323311428
NCD54,OUT018,1992.4352624736416
FDY19,OUT010,-65.8146875189484
NCY54,OUT017,2808.8790343316277
NCL19,OUT018,2022.6901783157014
FDP23,OUT010,1539.0815568268495
FDC26,OUT013,1818.5202771082672
FDR14,OUT010,-1044.9910231598685
NCS41,OUT035,3030.2701837270342
FDF41,OUT035,4044.523244064848
FDU34,OUT046,1996.7803865483552
DRH11,OUT046,930.5954574331406
FDM03,OUT013,1732.6542618981339
FDS31,OUT017,3030.857134960186
FDJ20,OUT017,2096.286415970402
FDV44,OUT027,4497.764263731579
FDG02,OUT049,3114.1310682519875
FDA09,OUT013,2949.95055613735
FDT04,OUT013,642.2535009714766
FDL58,OUT019,2291.62052444111
FDE52,OUT045,1450.8800550785343
FDW12,OUT035,2514.1409238248725
FDL51,OUT017,3553.635466079016
NCY42,OUT027,3695.047236458701
FDR07,OUT017,1660.6567672186777
FDN40,OUT045,2364.0621636862697
FDB35,OUT027,2960.5725746565026
FDA22,OUT017,2787.4059721580184
NCL06,OUT046,4112.721823910691
FDI35,OUT013,2916.7713787941925
NCW42,OUT045,3409.6539436816256
NCX06,OUT049,2943.1713043757213
FDC37,OUT027,3202.277820884449
FDZ14,OUT018,1741.1222608153093
DRG49,OUT049,3956.858589229936
NCG06,OUT045,3958.1117837894744
DRC36,OUT045,2726.573833132866
FDV21,OUT019,42.09795595063309
FDB53,OUT046,2349.1604659958075
DRP47,OUT019,2024.8696995513974
FDA14,OUT013,2316.881746275736
DRC24,OUT035,2571.209365298913
