Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1651.5616316813769
FDW14,OUT017,1357.251106107866
NCN55,OUT010,596.2801032206273
FDQ58,OUT017,2490.6103889934107
FDY38,OUT027,6223.043252702993
FDH56,OUT046,1947.8237945921328
FDL48,OUT018,748.8976315290586
FDC48,OUT027,2174.737546666622
FDN33,OUT045,1534.508423551467
FDA36,OUT017,3079.9348173854933
FDT44,OUT017,1959.2041651680838
FDQ56,OUT045,1353.6670883557877
NCC54,OUT019,579.0598121431527
FDU11,OUT049,2030.7754089085427
DRL59,OUT013,790.7758305017028
FDM24,OUT049,2468.128009137366
FDI57,OUT045,3050.82997590468
DRC12,OUT018,2926.721196651393
NCM42,OUT027,2928.229978971693
FDA46,OUT010,493.21199360780935
FDA31,OUT013,2870.0523976824857
NCJ31,OUT035,3868.867722162488
FDG52,OUT046,759.0402719246043
NCL19,OUT019,299.1503859327596
FDS10,OUT035,3005.4726370750736
FDX22,OUT010,561.7291437006796
NCF19,OUT035,760.1916548103353
NCE06,OUT046,2547.515843661191
DRC27,OUT046,3961.8179308397766
FDE21,OUT035,1963.1707730528617
NCR42,OUT019,91.11286215206349
FDX51,OUT018,2984.102319042815
NCR06,OUT018,611.8201860272252
FDU31,OUT027,5546.160205392933
FDU59,OUT017,2569.368004746806
FDR03,OUT027,5527.435916813689
FDS49,OUT027,2200.0103581906646
FDD48,OUT010,256.6941050950498
NCF18,OUT017,3019.177931496331
NCD43,OUT027,2568.4108481340672
NCD54,OUT018,2038.711701272484
FDY19,OUT010,263.62956360864786
NCY54,OUT017,2886.748300280882
NCL19,OUT018,2396.760992609829
FDP23,OUT010,571.6099497167226
FDC26,OUT013,1731.6633725407428
FDR14,OUT010,163.62957910568284
NCS41,OUT035,3136.4599117803778
FDF41,OUT035,3952.4861149985622
FDU34,OUT046,2055.001139378419
DRH11,OUT046,863.9578781279633
FDM03,OUT013,1649.089955459355
FDS31,OUT017,3044.2533230423087
FDJ20,OUT017,2042.5322727482564
FDV44,OUT027,5083.431057047997
FDG02,OUT049,3150.4136819715313
FDA09,OUT013,2987.7238238377117
FDT04,OUT013,610.34829919972
FDL58,OUT019,578.9040256437819
FDE52,OUT045,1383.2558240239707
FDW12,OUT035,2517.8973513677424
FDL51,OUT017,3639.522011700924
NCY42,OUT027,3330.0721849715005
FDR07,OUT017,1547.9123492080407
FDN40,OUT045,2470.368912678924
FDB35,OUT027,2508.341152674327
FDA22,OUT017,2573.2838062281785
NCL06,OUT046,4096.094533235437
FDI35,OUT013,3028.8665898028553
NCW42,OUT045,3791.694746944716
NCX06,OUT049,3040.9720273567546
FDC37,OUT027,2581.3719462225204
FDZ14,OUT018,1909.7977372108135
DRG49,OUT049,3959.8922450139776
NCG06,OUT045,4070.882482815998
DRC36,OUT045,2895.023745598883
FDV21,OUT019,298.97374017813297
FDB53,OUT046,2517.96294489451
DRP47,OUT019,578.9700189115678
FDA14,OUT013,2491.905152352474
DRC24,OUT035,2552.2421014891697
FDW21,OUT018,1609.6456070796673
NCH29,OUT046,1558.370059687419
FDU58,OUT013,3081.8050163699063
FDY27,OUT017,2914.054785470391
FDV56,OUT035,1655.3932848090058
FDT59,OUT046,3849.6819321588646
FDB23,OUT046,3778.624390342929
FDR49,OUT045,750.31234528735
FDB03,OUT010,595.4118183605358
FDN39,OUT045,2630.3328813855346
FDX02,OUT027,5708.5241911768335
